item_id;definition;type;category;lexical_category;lexical_class;uni_lemma;complexity_category;num_item_id
item_381;politi;word;people;other;other;police;;381
item_382;postbud;word;people;other;other;NA;;382
item_383;søster;word;people;other;other;sister;;383
item_384;tante;word;people;other;other;aunt;;384
item_385;venn;word;people;other;other;NA;;385
item_386;venninne;word;people;other;other;NA;;386
item_387;„kommer og tar deg” lek;word;games_routines;other;other;NA;;387
item_388;bade;word;games_routines;other;other;bath;;388
item_389;frokost;word;games_routines;other;other;breakfast;;389
item_390;gå på do;word;games_routines;other;other;NA;;390
item_391;god natt;word;games_routines;other;other;good night;;391
item_392;ha det;word;games_routines;other;other;bye;;392
item_393;hallo;word;games_routines;other;other;NA;;393
item_394;handle;word;games_routines;other;other;NA;;394
item_395;hei;word;games_routines;other;other;hi;;395
item_396;hysj;word;games_routines;other;other;shh;;396
item_397;ikke;word;games_routines;other;other;don't;;397
item_398;ja;word;games_routines;other;other;yes;;398
item_399;jo;word;games_routines;other;other;NA;;399
item_400;klappe kake;word;games_routines;other;other;pattycake;;400
item_401;kveldsmat;word;games_routines;other;other;NA;;401
item_402;lek hvor ansikt gjemmes og plutselig vises (Borte!);word;games_routines;other;other;peekaboo;;402
item_403;lunsj;word;games_routines;other;other;lunch;;403
item_404;middag;word;games_routines;other;other;dinner;;404
item_405;nei;word;games_routines;other;other;no;;405
item_406;ringe;word;games_routines;other;other;NA;;406
item_407;snurre rundt;word;games_routines;other;other;NA;;407
item_408;sovetid;word;games_routines;other;other;nap;;408
item_409;sååå stor;word;games_routines;other;other;NA;;409
item_410;takk;word;games_routines;other;other;thank you;;410
item_411;vær så snill;word;games_routines;other;other;please;;411
item_412;vent;word;games_routines;other;other;wait;;412
item_413;vil;word;games_routines;other;other;wanna;;413
item_414;jobbe;word;action_words;predicates;verbs;NA;;414
item_415;bite;word;action_words;predicates;verbs;bite;;415
item_416;blåse;word;action_words;predicates;verbs;blow;;416
item_417;bråke;word;action_words;predicates;verbs;NA;;417
